Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,,Incest,Statutory rape,,Total Assault
2001,151351,Indiana University-Bloomington,180900,1,Indiana University - Bloomington Campus,37963,10,,,0,,,,,10
2001,171100,Michigan State University,229000,1,Main Campus,44227,20,,,0,,,,,20
2001,147767,Northwestern University,173900,1,Main Campus,17000,2,,,1,,,,,3
2001,204796,Ohio State University-Main Campus,309000,1,Main Campus,48477,3,,,0,,,,,3
2001,214777,Pennsylvania State University-Main Campus,332900,1,University Park Campus Penn State,40828,8,,,0,,,,,8
2001,243780,Purdue University-Main Campus,182500,1,Main Campus,39882,10,,,0,,,,,10
2001,186380,Rutgers University-New Brunswick,262900,1,Main Campus,35650,12,,,0,,,,,12
2001,110662,University of California-Los Angeles,131500,1,UCLA,37494,11,,,0,,,,,11
2001,145637,University of Illinois Urbana-Champaign,177500,1,Main Campus,39291,14,,,0,,,,,14
2001,153658,University of Iowa,189200,1,Main Campus,28768,6,,,0,,,,,6
2001,163286,University of Maryland-College Park,210300,1,Main Campus,34160,7,,,0,,,,,7
2001,170976,University of Michigan-Ann Arbor,232500,1,Ann Arbor campus,38248,10,,,0,,,,,10
2001,174066,University of Minnesota-Twin Cities,396900,1,Main Campus,46597,14,,,0,,,,,14
2001,181464,University of Nebraska-Lincoln,256500,1,Main Campus,22764,0,,,0,,,,,0
2001,209551,University of Oregon,322300,1,Main Campus,18956,2,,,0,,,,,2
2001,123961,University of Southern California,132800,1,University Park Campus,29813,8,,,1,,,,,9
2001,123961,University of Southern California,132800,2,Health Sciences Campus,29813,0,,,0,,,,,0
2001,123961,University of Southern California,132800,3,Catalina Island,29813,0,,,0,,,,,0
2001,123961,University of Southern California,132800,4,Orange County Center,29813,0,,,0,,,,,0
2001,123961,University of Southern California,132800,5,Sacramento Center,29813,0,,,0,,,,,0
2001,123961,University of Southern California,132800,6,Marina del Rey,29813,0,,,0,,,,,0
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,2,,,0,,,,,2
2001,240444,University of Wisconsin-Madison,389500,1,Main Campus,40922,14,,,0,,,,,14
2002,151351,Indiana University-Bloomington,180900,1,Indiana University - Bloomington Campus,38903,17,,,0,,,,,17
2002,171100,Michigan State University,229000,1,Main Campus,44937,25,,,0,,,,,25
2002,147767,Northwestern University,173900,1,Main Campus,17528,1,,,0,,,,,1
2002,204796,Ohio State University-Main Campus,309000,1,Main Campus,49676,7,,,0,,,,,7
2002,214777,Pennsylvania State University-Main Campus,332900,1,University Park Campus Penn State,41445,12,,,0,,,,,12
2002,243780,Purdue University-Main Campus,182500,1,Main Campus,40117,13,,,0,,,,,13
2002,186380,Rutgers University-New Brunswick,262900,1,Main Campus,35886,11,,,0,,,,,11
2002,110662,University of California-Los Angeles,131500,1,UCLA,37599,16,,,0,,,,,16
2002,145637,University of Illinois Urbana-Champaign,177500,1,Main Campus,39999,9,,,0,,,,,9
2002,153658,University of Iowa,189200,1,Main Campus,29697,4,,,0,,,,,4
2002,163286,University of Maryland-College Park,210300,1,Main Campus,34801,14,,,1,,,,,15
2002,170976,University of Michigan-Ann Arbor,232500,1,Ann Arbor campus,38972,23,,,0,,,,,23
2002,174066,University of Minnesota-Twin Cities,396900,1,Main Campus,48677,10,,,0,,,,,10
2002,181464,University of Nebraska-Lincoln,256500,1,Main Campus,22988,0,,,0,,,,,0
2002,209551,University of Oregon,322300,1,Main Campus,19997,8,,,0,,,,,8
2002,123961,University of Southern California,132800,1,University Park Campus,30682,12,,,0,,,,,12
2002,123961,University of Southern California,132800,2,Health Sciences Campus,30682,0,,,0,,,,,0
2002,123961,University of Southern California,132800,3,Catalina Island,30682,0,,,0,,,,,0
2002,123961,University of Southern California,132800,4,Orange County Center,30682,0,,,0,,,,,0
2002,123961,University of Southern California,132800,5,Sacramento Center,30682,0,,,0,,,,,0
2002,123961,University of Southern California,132800,6,Marina del Rey,30682,0,,,0,,,,,0
2002,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39882,0,,,0,,,,,0
2002,240444,University of Wisconsin-Madison,389500,1,Main Campus,40884,14,,,1,,,,,15
2003,151351,Indiana University-Bloomington,180900,1,Indiana University - Bloomington Campus,38589,6,,,0,,,,,6
2003,171100,Michigan State University,229000,1,Main Campus,44542,14,,,0,,,,,14
2003,147767,Northwestern University,173900,1,Main Campus,17625,4,,,0,,,,,4
2003,204796,Ohio State University-Main Campus,309000,1,Main Campus,50731,9,,,0,,,,,9
